I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f596f831cd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7f5966361f50>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:82:00.0
Total memory: 11.90GiB
Free memory: 11.76GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:82:00.0)
(1, 15, 20, 832)
(1, 15, 20, 2496)
(1, 15, 20, 832)
(1, 15, 20, 2496)
Step: 0, lr: 0.001000, Train Loss: 6.49, Softmax Test Accuracy: 51.3%, Time/image (ms): 0.0
Step: 50, lr: 0.001000, Train Loss: 4.80, Softmax Test Accuracy: 85.7%, Time/image (ms): 279.4
Step: 100, lr: 0.001000, Train Loss: 3.48, Softmax Test Accuracy: 87.3%, Time/image (ms): 166.0
Step: 150, lr: 0.001000, Train Loss: 1.03, Softmax Test Accuracy: 83.3%, Time/image (ms): 154.2
Step: 200, lr: 0.001000, Train Loss: 1.68, Softmax Test Accuracy: 85.0%, Time/image (ms): 141.9
Step: 250, lr: 0.001000, Train Loss: 1.05, Softmax Test Accuracy: 83.7%, Time/image (ms): 154.7
Step: 300, lr: 0.001000, Train Loss: 1.10, Softmax Test Accuracy: 85.7%, Time/image (ms): 144.8
Step: 350, lr: 0.001000, Train Loss: 1.30, Softmax Test Accuracy: 87.0%, Time/image (ms): 143.3
Step: 400, lr: 0.001000, Train Loss: 1.78, Softmax Test Accuracy: 90.3%, Time/image (ms): 141.0
Step: 450, lr: 0.001000, Train Loss: 0.77, Softmax Test Accuracy: 82.3%, Time/image (ms): 142.6
Step: 500, lr: 0.001000, Train Loss: 0.95, Softmax Test Accuracy: 88.7%, Time/image (ms): 144.7
Step: 550, lr: 0.001000, Train Loss: 0.91, Softmax Test Accuracy: 84.7%, Time/image (ms): 143.9
Step: 600, lr: 0.001000, Train Loss: 0.92, Softmax Test Accuracy: 89.7%, Time/image (ms): 144.7
Step: 650, lr: 0.001000, Train Loss: 1.11, Softmax Test Accuracy: 69.7%, Time/image (ms): 143.8
Step: 700, lr: 0.001000, Train Loss: 0.97, Softmax Test Accuracy: 90.3%, Time/image (ms): 144.3
Step: 750, lr: 0.001000, Train Loss: 0.99, Softmax Test Accuracy: 82.0%, Time/image (ms): 145.8
Step: 800, lr: 0.001000, Train Loss: 1.09, Softmax Test Accuracy: 77.0%, Time/image (ms): 144.8
Step: 850, lr: 0.001000, Train Loss: 1.32, Softmax Test Accuracy: 84.7%, Time/image (ms): 148.7
Step: 900, lr: 0.001000, Train Loss: 1.03, Softmax Test Accuracy: 85.0%, Time/image (ms): 148.8
Step: 950, lr: 0.001000, Train Loss: 1.26, Softmax Test Accuracy: 86.0%, Time/image (ms): 146.9
Step: 1000, lr: 0.001000, Train Loss: 1.42, Softmax Test Accuracy: 87.7%, Time/image (ms): 144.1
Step: 1050, lr: 0.001000, Train Loss: 1.45, Softmax Test Accuracy: 77.0%, Time/image (ms): 145.1
Step: 1100, lr: 0.001000, Train Loss: 0.67, Softmax Test Accuracy: 86.7%, Time/image (ms): 147.1
Step: 1150, lr: 0.001000, Train Loss: 0.72, Softmax Test Accuracy: 71.7%, Time/image (ms): 148.1
Step: 1200, lr: 0.001000, Train Loss: 1.05, Softmax Test Accuracy: 88.0%, Time/image (ms): 150.0
Step: 1250, lr: 0.001000, Train Loss: 0.78, Softmax Test Accuracy: 80.0%, Time/image (ms): 146.4
Step: 1300, lr: 0.001000, Train Loss: 0.76, Softmax Test Accuracy: 82.0%, Time/image (ms): 142.1
Step: 1350, lr: 0.001000, Train Loss: 0.88, Softmax Test Accuracy: 84.0%, Time/image (ms): 156.8
Step: 1400, lr: 0.001000, Train Loss: 1.31, Softmax Test Accuracy: 88.7%, Time/image (ms): 144.4
Step: 1450, lr: 0.001000, Train Loss: 0.99, Softmax Test Accuracy: 83.0%, Time/image (ms): 146.5
Step: 1500, lr: 0.001000, Train Loss: 0.60, Softmax Test Accuracy: 75.3%, Time/image (ms): 148.8
Step: 1550, lr: 0.001000, Train Loss: 1.03, Softmax Test Accuracy: 87.7%, Time/image (ms): 147.8
Step: 1600, lr: 0.001000, Train Loss: 0.95, Softmax Test Accuracy: 89.3%, Time/image (ms): 149.1
Step: 1650, lr: 0.001000, Train Loss: 0.69, Softmax Test Accuracy: 85.0%, Time/image (ms): 144.2
Step: 1700, lr: 0.001000, Train Loss: 0.77, Softmax Test Accuracy: 80.0%, Time/image (ms): 143.2
Step: 1750, lr: 0.001000, Train Loss: 0.83, Softmax Test Accuracy: 82.3%, Time/image (ms): 146.5
Step: 1800, lr: 0.001000, Train Loss: 0.43, Softmax Test Accuracy: 83.0%, Time/image (ms): 152.1
Step: 1850, lr: 0.001000, Train Loss: 0.65, Softmax Test Accuracy: 83.7%, Time/image (ms): 147.6
Step: 1900, lr: 0.001000, Train Loss: 0.92, Softmax Test Accuracy: 85.7%, Time/image (ms): 144.2
Step: 1950, lr: 0.001000, Train Loss: 0.68, Softmax Test Accuracy: 88.3%, Time/image (ms): 148.7
Step: 2000, lr: 0.001000, Train Loss: 0.62, Softmax Test Accuracy: 79.3%, Time/image (ms): 148.9
Step: 2050, lr: 0.001000, Train Loss: 0.69, Softmax Test Accuracy: 82.0%, Time/image (ms): 148.4
Step: 2100, lr: 0.001000, Train Loss: 0.49, Softmax Test Accuracy: 83.3%, Time/image (ms): 145.1
Step: 2150, lr: 0.001000, Train Loss: 0.27, Softmax Test Accuracy: 87.0%, Time/image (ms): 146.6
Step: 2200, lr: 0.001000, Train Loss: 0.54, Softmax Test Accuracy: 85.0%, Time/image (ms): 147.1
Step: 2250, lr: 0.001000, Train Loss: 0.72, Softmax Test Accuracy: 83.7%, Time/image (ms): 150.8
Step: 2300, lr: 0.001000, Train Loss: 0.72, Softmax Test Accuracy: 84.0%, Time/image (ms): 146.5
Step: 2350, lr: 0.001000, Train Loss: 0.63, Softmax Test Accuracy: 85.0%, Time/image (ms): 150.1
Step: 2400, lr: 0.001000, Train Loss: 0.48, Softmax Test Accuracy: 85.3%, Time/image (ms): 145.7
Step: 2450, lr: 0.001000, Train Loss: 0.71, Softmax Test Accuracy: 76.7%, Time/image (ms): 159.3
Step: 2500, lr: 0.001000, Train Loss: 0.64, Softmax Test Accuracy: 85.7%, Time/image (ms): 147.8
Step: 2550, lr: 0.001000, Train Loss: 0.61, Softmax Test Accuracy: 85.7%, Time/image (ms): 150.0
Step: 2600, lr: 0.001000, Train Loss: 0.53, Softmax Test Accuracy: 87.0%, Time/image (ms): 147.5
Step: 2650, lr: 0.001000, Train Loss: 0.50, Softmax Test Accuracy: 88.0%, Time/image (ms): 146.2
Step: 2700, lr: 0.001000, Train Loss: 0.65, Softmax Test Accuracy: 87.0%, Time/image (ms): 149.6
Step: 2750, lr: 0.001000, Train Loss: 0.39, Softmax Test Accuracy: 86.7%, Time/image (ms): 146.9
Step: 2800, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 69.7%, Time/image (ms): 143.7
Step: 2850, lr: 0.001000, Train Loss: 0.52, Softmax Test Accuracy: 84.0%, Time/image (ms): 144.8
Step: 2900, lr: 0.001000, Train Loss: 0.55, Softmax Test Accuracy: 84.7%, Time/image (ms): 145.8
Step: 2950, lr: 0.001000, Train Loss: 0.95, Softmax Test Accuracy: 86.3%, Time/image (ms): 142.7
Step: 3000, lr: 0.001000, Train Loss: 0.63, Softmax Test Accuracy: 86.7%, Time/image (ms): 146.1
Step: 3050, lr: 0.001000, Train Loss: 0.27, Softmax Test Accuracy: 89.0%, Time/image (ms): 149.2
Step: 3100, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 85.0%, Time/image (ms): 146.3
Step: 3150, lr: 0.001000, Train Loss: 0.47, Softmax Test Accuracy: 90.0%, Time/image (ms): 147.0
Step: 3200, lr: 0.001000, Train Loss: 0.46, Softmax Test Accuracy: 91.0%, Time/image (ms): 147.0
Step: 3250, lr: 0.001000, Train Loss: 0.55, Softmax Test Accuracy: 90.3%, Time/image (ms): 143.2
Step: 3300, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 90.0%, Time/image (ms): 144.5
Step: 3350, lr: 0.001000, Train Loss: 0.58, Softmax Test Accuracy: 87.7%, Time/image (ms): 150.2
Step: 3400, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 90.0%, Time/image (ms): 147.9
Step: 3450, lr: 0.001000, Train Loss: 0.53, Softmax Test Accuracy: 88.0%, Time/image (ms): 142.5
Step: 3500, lr: 0.001000, Train Loss: 0.30, Softmax Test Accuracy: 90.0%, Time/image (ms): 143.5
Step: 3550, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 92.7%, Time/image (ms): 155.3
Step: 3600, lr: 0.001000, Train Loss: 0.39, Softmax Test Accuracy: 89.7%, Time/image (ms): 144.1
Step: 3650, lr: 0.001000, Train Loss: 0.41, Softmax Test Accuracy: 91.7%, Time/image (ms): 141.8
Step: 3700, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 89.7%, Time/image (ms): 152.8
Step: 3750, lr: 0.001000, Train Loss: 0.42, Softmax Test Accuracy: 85.0%, Time/image (ms): 147.8
Step: 3800, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 89.7%, Time/image (ms): 144.7
Step: 3850, lr: 0.001000, Train Loss: 0.27, Softmax Test Accuracy: 89.0%, Time/image (ms): 145.9
Step: 3900, lr: 0.001000, Train Loss: 0.33, Softmax Test Accuracy: 92.0%, Time/image (ms): 143.2
Step: 3950, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 93.0%, Time/image (ms): 144.5
Step: 4000, lr: 0.001000, Train Loss: 0.63, Softmax Test Accuracy: 91.0%, Time/image (ms): 144.6
Step: 4050, lr: 0.001000, Train Loss: 0.32, Softmax Test Accuracy: 93.3%, Time/image (ms): 146.2
Step: 4100, lr: 0.001000, Train Loss: 0.31, Softmax Test Accuracy: 94.3%, Time/image (ms): 145.8
Step: 4150, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 87.7%, Time/image (ms): 143.1
Step: 4200, lr: 0.001000, Train Loss: 0.52, Softmax Test Accuracy: 94.7%, Time/image (ms): 147.8
Step: 4250, lr: 0.001000, Train Loss: 0.38, Softmax Test Accuracy: 86.3%, Time/image (ms): 152.2
Step: 4300, lr: 0.001000, Train Loss: 0.35, Softmax Test Accuracy: 94.0%, Time/image (ms): 145.5
Step: 4350, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 93.7%, Time/image (ms): 144.4
Step: 4400, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 93.7%, Time/image (ms): 143.5
Step: 4450, lr: 0.001000, Train Loss: 0.59, Softmax Test Accuracy: 97.0%, Time/image (ms): 145.4
Step: 4500, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 95.0%, Time/image (ms): 145.1
Step: 4550, lr: 0.001000, Train Loss: 0.46, Softmax Test Accuracy: 87.7%, Time/image (ms): 147.6
Step: 4600, lr: 0.001000, Train Loss: 0.52, Softmax Test Accuracy: 94.3%, Time/image (ms): 147.3
Step: 4650, lr: 0.001000, Train Loss: 0.37, Softmax Test Accuracy: 94.0%, Time/image (ms): 146.0
Step: 4700, lr: 0.001000, Train Loss: 0.44, Softmax Test Accuracy: 94.7%, Time/image (ms): 146.4
Step: 4750, lr: 0.001000, Train Loss: 0.48, Softmax Test Accuracy: 95.3%, Time/image (ms): 155.8
Step: 4800, lr: 0.001000, Train Loss: 0.44, Softmax Test Accuracy: 95.0%, Time/image (ms): 148.4
Step: 4850, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 90.0%, Time/image (ms): 149.4
Step: 4900, lr: 0.001000, Train Loss: 0.24, Softmax Test Accuracy: 91.7%, Time/image (ms): 143.5
Step: 4950, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 93.0%, Time/image (ms): 146.9
Step: 5000, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 94.0%, Time/image (ms): 145.7
Step: 5050, lr: 0.001000, Train Loss: 0.15, Softmax Test Accuracy: 96.0%, Time/image (ms): 148.0
Step: 5100, lr: 0.001000, Train Loss: 0.42, Softmax Test Accuracy: 92.7%, Time/image (ms): 146.8
Step: 5150, lr: 0.001000, Train Loss: 0.38, Softmax Test Accuracy: 94.7%, Time/image (ms): 147.1
Step: 5200, lr: 0.001000, Train Loss: 0.34, Softmax Test Accuracy: 92.0%, Time/image (ms): 150.8
Step: 5250, lr: 0.001000, Train Loss: 0.32, Softmax Test Accuracy: 95.0%, Time/image (ms): 141.1
Step: 5300, lr: 0.001000, Train Loss: 0.36, Softmax Test Accuracy: 89.7%, Time/image (ms): 145.5
Step: 5350, lr: 0.001000, Train Loss: 0.76, Softmax Test Accuracy: 93.7%, Time/image (ms): 145.2
Step: 5400, lr: 0.001000, Train Loss: 0.29, Softmax Test Accuracy: 96.3%, Time/image (ms): 146.9
Step: 5450, lr: 0.001000, Train Loss: 0.22, Softmax Test Accuracy: 92.3%, Time/image (ms): 145.3
Step: 5500, lr: 0.001000, Train Loss: 0.51, Softmax Test Accuracy: 91.7%, Time/image (ms): 149.7
Step: 5550, lr: 0.001000, Train Loss: 0.63, Softmax Test Accuracy: 96.0%, Time/image (ms): 148.6
Step: 5600, lr: 0.001000, Train Loss: 0.22, Softmax Test Accuracy: 94.3%, Time/image (ms): 146.8
