I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7faafb764fd0>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
WARNING:tensorflow:<tensorflow.python.ops.rnn_cell.BasicLSTMCell object at 0x7faae0fa8f10>: Using a concatenated state is slower and will soon be deprecated.  Use state_is_tuple=True.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:82:00.0
Total memory: 11.90GiB
Free memory: 11.76GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:82:00.0)
(1, 15, 20, 832)
(1, 15, 20, 2496)
(1, 15, 20, 832)
(1, 15, 20, 2496)
Step: 0, lr: 0.001000, Train Loss: 6.48, Softmax Test Accuracy: 28.3%, Time/image (ms): 0.0
Step: 50, lr: 0.001000, Train Loss: 5.08, Softmax Test Accuracy: 66.0%, Time/image (ms): 730.7
Step: 100, lr: 0.001000, Train Loss: 5.04, Softmax Test Accuracy: 87.3%, Time/image (ms): 479.0
Step: 150, lr: 0.001000, Train Loss: 1.14, Softmax Test Accuracy: 83.3%, Time/image (ms): 210.7
Step: 200, lr: 0.001000, Train Loss: 1.61, Softmax Test Accuracy: 85.0%, Time/image (ms): 207.8
Step: 250, lr: 0.001000, Train Loss: 0.92, Softmax Test Accuracy: 83.7%, Time/image (ms): 206.2
Step: 300, lr: 0.001000, Train Loss: 1.09, Softmax Test Accuracy: 85.7%, Time/image (ms): 203.6
Step: 350, lr: 0.001000, Train Loss: 1.30, Softmax Test Accuracy: 87.0%, Time/image (ms): 212.4
Step: 400, lr: 0.001000, Train Loss: 1.83, Softmax Test Accuracy: 90.3%, Time/image (ms): 211.1
Step: 450, lr: 0.001000, Train Loss: 0.75, Softmax Test Accuracy: 82.3%, Time/image (ms): 214.4
Step: 500, lr: 0.001000, Train Loss: 0.91, Softmax Test Accuracy: 88.7%, Time/image (ms): 203.4
Step: 550, lr: 0.001000, Train Loss: 0.87, Softmax Test Accuracy: 84.7%, Time/image (ms): 208.5
Step: 600, lr: 0.001000, Train Loss: 0.86, Softmax Test Accuracy: 89.7%, Time/image (ms): 210.3
Step: 650, lr: 0.001000, Train Loss: 1.09, Softmax Test Accuracy: 69.7%, Time/image (ms): 208.1
Step: 700, lr: 0.001000, Train Loss: 0.94, Softmax Test Accuracy: 90.3%, Time/image (ms): 208.7
Step: 750, lr: 0.001000, Train Loss: 0.98, Softmax Test Accuracy: 82.0%, Time/image (ms): 207.3
Step: 800, lr: 0.001000, Train Loss: 1.13, Softmax Test Accuracy: 77.0%, Time/image (ms): 208.3
Step: 850, lr: 0.001000, Train Loss: 1.22, Softmax Test Accuracy: 84.7%, Time/image (ms): 208.0
Step: 900, lr: 0.001000, Train Loss: 0.99, Softmax Test Accuracy: 85.0%, Time/image (ms): 205.3
Step: 950, lr: 0.001000, Train Loss: 1.17, Softmax Test Accuracy: 86.0%, Time/image (ms): 208.5
Step: 1000, lr: 0.001000, Train Loss: 1.35, Softmax Test Accuracy: 87.7%, Time/image (ms): 205.5
Step: 1050, lr: 0.001000, Train Loss: 1.36, Softmax Test Accuracy: 77.0%, Time/image (ms): 210.2
Step: 1100, lr: 0.001000, Train Loss: 0.66, Softmax Test Accuracy: 86.7%, Time/image (ms): 208.9
Step: 1150, lr: 0.001000, Train Loss: 0.69, Softmax Test Accuracy: 71.7%, Time/image (ms): 207.9
Step: 1200, lr: 0.001000, Train Loss: 0.83, Softmax Test Accuracy: 88.0%, Time/image (ms): 209.2
Step: 1250, lr: 0.001000, Train Loss: 0.71, Softmax Test Accuracy: 80.0%, Time/image (ms): 211.8
Step: 1300, lr: 0.001000, Train Loss: 0.61, Softmax Test Accuracy: 82.0%, Time/image (ms): 208.6
Step: 1350, lr: 0.001000, Train Loss: 0.77, Softmax Test Accuracy: 84.0%, Time/image (ms): 209.6
Step: 1400, lr: 0.001000, Train Loss: 1.11, Softmax Test Accuracy: 88.7%, Time/image (ms): 209.0
Step: 1450, lr: 0.001000, Train Loss: 0.79, Softmax Test Accuracy: 83.0%, Time/image (ms): 208.7
Step: 1500, lr: 0.001000, Train Loss: 0.53, Softmax Test Accuracy: 75.3%, Time/image (ms): 211.9
Step: 1550, lr: 0.001000, Train Loss: 0.88, Softmax Test Accuracy: 87.7%, Time/image (ms): 206.4
Step: 1600, lr: 0.001000, Train Loss: 0.89, Softmax Test Accuracy: 89.3%, Time/image (ms): 204.9
Step: 1650, lr: 0.001000, Train Loss: 0.44, Softmax Test Accuracy: 86.3%, Time/image (ms): 205.0
Step: 1700, lr: 0.001000, Train Loss: 0.68, Softmax Test Accuracy: 81.0%, Time/image (ms): 209.9
Step: 1750, lr: 0.001000, Train Loss: 0.65, Softmax Test Accuracy: 83.0%, Time/image (ms): 210.6
Step: 1800, lr: 0.001000, Train Loss: 0.28, Softmax Test Accuracy: 83.0%, Time/image (ms): 210.1
Step: 1850, lr: 0.001000, Train Loss: 0.61, Softmax Test Accuracy: 85.0%, Time/image (ms): 206.8
Step: 1900, lr: 0.001000, Train Loss: 0.69, Softmax Test Accuracy: 87.7%, Time/image (ms): 207.2
